----------------------------------------
Elcentro Earthquake Accelerogram Data File

Sohail Forouzan-sepehr's Website
http://www.sfsepehr.com

Duration: 31.18 sec


   Time	     Accl.
   (sec)     (cm/s^2)
   -----     --------
    0.00      0.00000
    0.02      6.18030
    0.04      3.57084
    0.06      0.97119
    0.08      4.19868
    0.10      7.43598
    0.12     10.66347
    0.14      6.69042
    0.16      2.71737
    0.18     -1.25568
    0.20      3.61008
    0.22      8.47584
    0.24     13.34160
    0.26      7.13187
    0.28      0.92214
    0.30      4.12020
    0.32      2.16801
    0.34      0.20601
    0.36      4.35564
    0.38      8.50527
    0.40     12.65490
    0.42     16.80453
    0.44     -3.36483
    0.46    -23.54400
    0.48     -9.73152
    0.50      4.08096
    0.52      5.17968
    0.54     16.21593
    0.56     27.26199
    0.58     38.29824
    0.60     24.02469
    0.62      9.76095
    0.64      9.42741
    0.66      9.08406
    0.68      8.75052
    0.70     -4.76766
    0.72    -18.28584
    0.74    -31.80402
    0.76    -33.01065
    0.78    -56.14263
    0.80    -44.47854
    0.82    -32.82426
    0.84    -31.40181
    0.86    -29.97936
    0.88    -28.55691
    0.90    -27.13446
    0.92    -40.37796
    0.94    -53.62146
    0.96    -66.86496
    0.98    -80.10846
    1.00    -67.15926
    1.02    -54.21987
    1.04    -41.28048
    1.06    -41.78079
    1.08    -42.29091
    1.10    -23.81868
    1.12     -5.34645
    1.14     13.12578
    1.16     31.59801
    1.18     50.07024
    1.20     68.54247
    1.22     87.01470
    1.24     44.38044
    1.26      1.75599
    1.28    -40.87827
    1.30    -83.51253
    1.32   -126.13698
    1.34   -168.77124
    1.36   -126.62748
    1.38    -84.49353
    1.40    -87.32862
    1.42    -90.17352
    1.44    -93.01842
    1.46    -91.46844
    1.48    -89.91846
    1.50    -92.97918
    1.52    -96.03009
    1.54   -126.56862
    1.56    -75.06612
    1.58    -23.55381
    1.60     27.94869
    1.62     79.45119
    1.64    130.96350
    1.66    182.46600
    1.68    233.96850
    1.70    215.75133
    1.72    197.52435
    1.74    179.29737
    1.76    161.08020
    1.78    142.85322
    1.80    158.36283
    1.82    173.88225
    1.84    129.63915
    1.86     85.39605
    1.88     41.16276
    1.90     -3.08034
    1.92    -47.32344
    1.94    -91.56654
    1.96   -135.79983
    1.98   -180.04293
    2.00   -224.28603
    2.02   -268.51932
    2.04   -312.76242
    2.06   -245.48544
    2.08   -178.20846
    2.10   -110.94129
    2.12    -43.66431
    2.14     23.61267
    2.16     90.88965
    2.18    158.16663
    2.20    225.44361
    2.22    292.72059
    2.24    227.56257
    2.26    162.39474
    2.28     97.23672
    2.30     32.07870
    2.32    -33.07932
    2.34    -98.23734
    2.36   -163.39536
    2.38   -228.56319
    2.40   -293.72121
    2.42     -4.13001
    2.44    285.46119
    2.46    219.54780
    2.48    153.64422
    2.50     87.73083
    2.52     21.81744
    2.54    -44.09595
    2.56     17.99154
    2.58     80.07903
    2.60    142.15671
    2.62    204.24420
    2.64    186.12513
    2.66    167.99625
    2.68    134.97579
    2.70    101.95533
    2.72     68.93487
    2.74     35.91441
    2.76      2.89395
    2.78    -30.12651
    2.80     -5.50341
    2.82     19.10988
    2.84     43.73298
    2.86     63.45108
    2.88     83.16918
    2.90    102.87747
    2.92     57.82995
    2.94     12.78243
    2.96    -32.26509
    2.98    -77.32242
    3.00    -34.88436
    3.02      7.56351
    3.04     50.00157
    3.06      9.93753
    3.08    -30.12651
    3.10    -70.20036
    3.12   -110.26440
    3.14   -150.32844
    3.16   -110.99034
    3.18    -71.65224
    3.20    -32.31414
    3.22      7.01415
    3.24    -62.29350
    3.26   -131.60115
    3.28   -200.90880
    3.30   -122.44842
    3.32    -43.99785
    3.34     34.46253
    3.36    112.91310
    3.38    191.37348
    3.40    120.67281
    3.42     49.97214
    3.44    -20.72853
    3.46    -91.42920
    3.48    -26.12403
    3.50     39.19095
    3.52    104.50593
    3.54    169.82091
    3.56    110.68623
    3.58     51.55155
    3.60     -7.57332
    3.62     10.43784
    3.64     28.44900
    3.66     46.46997
    3.68     64.48113
    3.70     19.82601
    3.72    -24.81930
    3.74    -69.46461
    3.76    -40.28967
    3.78    -11.11473
    3.80      2.82528
    3.82     16.76529
    3.84     30.71511
    3.86    -22.34718
    3.88    -75.39966
    3.90   -128.46195
    3.92   -181.52424
    3.94   -140.74407
    3.96    -99.96390
    3.98    -59.19354
    4.00    -18.41337
    4.02     22.36680
    4.04     -9.77076
    4.06    -41.90832
    4.08    -21.06207
    4.10     -0.20601
    4.12     20.64024
    4.14    -14.31279
    4.16    -49.26582
    4.18    -84.21885
    4.20   -119.17188
    4.22   -154.12491
    4.24   -189.07794
    4.26   -224.03097
    4.28   -178.00245
    4.30   -131.97393
    4.32    -85.94541
    4.34    -39.91689
    4.36      6.11163
    4.38     52.14996
    4.40     98.17848
    4.42    144.20700
    4.44     95.68674
    4.46     47.16648
    4.48     -1.35378
    4.50     50.43321
    4.52    102.22020
    4.54    154.00719
    4.56    205.80399
    4.58    257.59098
    4.60    166.73076
    4.62     75.87054
    4.64    -14.97987
    4.66   -105.84009
    4.68   -196.70031
    4.70    -66.57066
    4.72     63.55899
    4.74     16.39251
    4.76    -30.77397
    4.78    -77.94045
    4.80   -125.10693
    4.82   -172.27341
    4.84   -219.43989
    4.86   -266.60637
    4.88   -155.49831
    4.90    -44.39025
    4.92     66.72762
    4.94    177.83568
    4.96    141.89184
    4.98    105.94800
    5.00     70.01397
    5.02     34.07013
    5.04     94.82346
    5.06    155.58660
    5.08    216.33993
    5.10    179.48376
    5.12    142.61778
    5.14    105.75180
    5.16     68.89563
    5.18     32.02965
    5.20     65.22669
    5.22     98.42373
    5.24    131.62077
    5.26    101.40597
    5.28     71.19117
    5.30     40.97637
    5.32     10.76157
    5.34    -19.45323
    5.36     43.53678
    5.38    106.53660
    5.40    169.52661
    5.42    102.18096
    5.44     34.83531
    5.46    -32.52015
    5.48    -99.86580
    5.50    -71.24022
    5.52    -42.61464
    5.54    -13.98906
    5.56     14.63652
    5.58    -19.86525
    5.60    -54.37683
    5.62    -88.87860
    5.64   -123.39018
    5.66   -157.89195
    5.68   -192.40353
    5.70   -145.03104
    5.72    -97.65855
    5.74    -50.29587
    5.76     -2.92338
    5.78    -19.14912
    5.80    -35.36505
    5.82    -51.59079
    5.84    -41.02542
    5.86    -30.46986
    5.88    -28.47843
    5.90    -26.47719
    5.92     24.67215
    5.94     17.36370
    5.96     21.70953
    5.98     26.05536
    6.00      4.11039
    6.02    -17.84439
    6.04    -39.79917
    6.06    -61.74414
    6.08    -23.71077
    6.10     14.32260
